         OtsuT  KittlerT    LloydT     SungT   RidlerT    HuangT   RameshT      Li1T      Li2T    BrinkT    KapurT    SahooT  ShanbhagT      YenT     TsaiT
75    0.358824  0.374510  0.242156  0.374510  0.362473  0.386275  0.527451  0.358994  0.358824  0.362745  0.311765  0.311550   0.217647  0.311765  0.327451
76    0.339216  0.350980  0.223482  0.350980  0.340918  0.366667  0.507843  0.337376  0.339216  0.362745  0.292157  0.292157   0.205882  0.292157  0.307843
77    0.319608  0.331373  0.207158  0.331373  0.321453  0.347059  0.492157  0.317841  0.319608  0.366667  0.272549  0.272549   0.201961  0.272549  0.288235
78    0.547059  0.558824  0.429648  0.558824  0.546855  0.570588  0.354902  0.544418  0.543137  0.441176  0.500000  0.500000   0.366667  0.500000  0.515686
79    0.303922  0.311765  0.190268  0.315686  0.304079  0.323529  0.472549  0.300397  0.300000  0.366667  0.252941  0.252941   0.190196  0.252941  0.272549
80    0.001961  0.833333  0.444467  0.001961  0.899881  0.903922  0.813725  0.898545  0.001961  0.813725  0.849020  0.848963   0.900000  0.849020  0.829412
81    0.001961  0.801961  0.434180  0.001961  0.880995  0.880392  0.782353  0.881092  0.001961  0.786275  0.813725  0.813725   0.880392  0.813725  0.809804
82    0.001961  0.774510  0.862805  0.856863  0.862805  0.856863  0.750980  0.862899  0.001961  0.758824  0.786275  0.786275   0.860784  0.786275  0.790196
83    0.841176  0.747059  0.414089  0.837255  0.842776  0.849020  0.719608  0.842634  0.001961  0.735294  0.766667  0.766667   0.841176  0.766667  0.770588
84    0.821569  0.719608  0.404257  0.817647  0.827389  0.829412  0.692157  0.827469  0.001961  0.707843  0.747059  0.746895   0.821569  0.747059  0.758824
85    0.782353  0.668627  0.385422  0.782353  0.788170  0.794118  0.637255  0.790640  0.782353  0.664706  0.692157  0.692157   0.790196  0.692157  0.727451
86    0.774510  0.641176  0.375151  0.774510  0.774438  0.774510  0.613725  0.774150  0.774510  0.645098  0.668627  0.668627   0.770588  0.668627  0.715686
87    0.754902  0.617647  0.761005  0.762745  0.761005  0.762745  0.586275  0.761014  0.754902  0.621569  0.645098  0.645098   0.754902  0.645098  0.700000
88    0.739216  0.598039  0.745171  0.747059  0.745171  0.747059  0.562745  0.745155  0.739216  0.613725  0.625490  0.625490   0.739216  0.625490  0.684314
89    0.723529  0.578431  0.346734  0.727451  0.726774  0.727451  0.543137  0.726353  0.715686  0.586275  0.605882  0.605882   0.723529  0.605882  0.672549
90    0.707843  0.558824  0.338038  0.711765  0.711430  0.711765  0.519608  0.710968  0.707843  0.582353  0.586275  0.586275   0.707843  0.586275  0.660784
91    0.696078  0.535294  0.328951  0.696078  0.696431  0.696078  0.503922  0.695926  0.696078  0.562745  0.566667  0.566667   0.692157  0.566667  0.649020
92    0.676471  0.519608  0.320714  0.676471  0.682223  0.684314  0.484314  0.685450  0.676471  0.539216  0.547059  0.547059   0.676471  0.547059  0.637255
93    0.660784  0.500000  0.311150  0.668627  0.667944  0.668627  0.464706  0.667338  0.660784  0.531373  0.527451  0.527451   0.660784  0.527451  0.621569
94    0.805882  0.696078  0.394432  0.805882  0.810186  0.809804  0.664706  0.810253  0.805882  0.684314  0.715686  0.715686   0.805882  0.715686  0.743137
95    0.652941  0.476471  0.302901  0.652941  0.654042  0.652941  0.445098  0.657442  0.652941  0.519608  0.511765  0.511765   0.649020  0.511765  0.613725
96    0.711765  0.974510  0.621522  0.978431  0.929303  0.947059  0.668627  0.925840  0.692157  0.801961  0.911765  0.911765   0.601961  0.911765  0.911765
97    0.688235  0.970588  0.578402  0.978431  0.916650  0.958824  0.617647  0.914317  0.668627  0.833333  0.896078  0.896078   0.543137  0.896078  0.896078
98    0.668627  0.962745  0.545921  0.974510  0.908426  0.927451  0.656863  0.903251  0.629412  0.845098  0.876471  0.876471   0.492157  0.876471  0.880392
99    0.633333  0.958824  0.548195  0.966667  0.897241  0.919608  0.645098  0.890962  0.605882  0.825490  0.860784  0.860784   0.445098  0.860784  0.860784
100   0.617647  0.950980  0.524832  0.962745  0.889563  0.907843  0.633333  0.882544  0.574510  0.841176  0.845098  0.845098   0.401961  0.845098  0.849020
101   0.582353  0.943137  0.480256  0.954902  0.869180  0.888235  0.621569  0.863114  0.539216  0.817647  0.813725  0.813725   0.327451  0.813725  0.817647
102   0.582353  0.935294  0.460444  0.950980  0.860663  0.880392  0.594118  0.853715  0.527451  0.801961  0.798039  0.798039   0.296078  0.798039  0.801961
103   0.582353  0.931373  0.444400  0.947059  0.854015  0.868627  0.582353  0.846351  0.519608  0.790196  0.782353  0.782353   0.268627  0.782353  0.790196
104   0.558824  0.927451  0.428397  0.943137  0.845957  0.864706  0.598039  0.837337  0.503922  0.774510  0.770588  0.770588   0.241176  0.770588  0.774510
105   0.539216  0.919608  0.416953  0.939216  0.837907  0.852941  0.578431  0.828273  0.488235  0.758824  0.758824  0.758824   0.217647  0.758824  0.758824
106   0.825490  0.915686  0.404195  0.935294  0.831744  0.845098  0.558824  0.821288  0.468627  0.747059  0.743137  0.743137   0.198039  0.743137  0.747059
107   0.817647  0.911765  0.390088  0.931373  0.824001  0.837255  0.547059  0.812449  0.492157  0.731373  0.727451  0.727451   0.178431  0.727451  0.731373
108   0.805882  0.903922  0.379078  0.927451  0.818116  0.829412  0.543137  0.805695  0.476471  0.719608  0.715686  0.715686   0.158824  0.715686  0.719608
109   0.798039  0.900000  0.368263  0.923529  0.812254  0.821569  0.570588  0.798922  0.460784  0.707843  0.703922  0.703922   0.147059  0.703922  0.707843
110   0.609804  0.947059  0.501574  0.958824  0.877975  0.900000  0.649020  0.872765  0.566667  0.833333  0.829412  0.829412   0.362745  0.829412  0.833333
111   0.786275  0.896078  0.355910  0.919608  0.804811  0.813725  0.554902  0.790261  0.786275  0.692157  0.688235  0.688235   0.131373  0.688235  0.692157
112   0.711765  0.884314  0.539665  0.817647  0.716511  0.731373  0.609804  0.666218  0.680392  0.641176  0.837255  0.837239   0.413725  0.864706  0.696078
113   0.684314  0.860784  0.485726  0.786275  0.683864  0.766667  0.605882  0.622377  0.641176  0.609804  0.813725  0.813258   0.354902  0.845098  0.652941
114   0.652941  0.837255  0.442160  0.762745  0.654617  0.739216  0.586275  0.587356  0.625490  0.586275  0.786275  0.789707   0.315686  0.825490  0.613725
115   0.629412  0.817647  0.405584  0.735294  0.630503  0.711765  0.547059  0.563441  0.598039  0.547059  0.790196  0.760658   0.280392  0.809804  0.586275
116   0.605882  0.798039  0.376284  0.711765  0.607527  0.676471  0.578431  0.544304  0.574510  0.594118  0.770588  0.728104   0.256863  0.774510  0.562745
117   0.566667  0.754902  0.321543  0.668627  0.568414  0.609804  0.566667  0.497938  0.531373  0.594118  0.731373  0.728939   0.237255  0.758824  0.527451
118   0.550980  0.735294  0.301318  0.649020  0.552494  0.574510  0.554902  0.478384  0.511765  0.590196  0.707843  0.720722   0.233333  0.750980  0.519608
119   0.535294  0.715686  0.285882  0.629412  0.535988  0.535294  0.547059  0.460883  0.496078  0.590196  0.700000  0.704876   0.225490  0.735294  0.515686
120   0.519608  0.692157  0.269657  0.609804  0.523647  0.558824  0.535294  0.443708  0.480392  0.570588  0.688235  0.691804   0.225490  0.719608  0.519608
121   0.507843  0.676471  0.258694  0.598039  0.509800  0.519608  0.531373  0.427684  0.468627  0.562745  0.672549  0.678236   0.225490  0.707843  0.519608
122   0.496078  0.656863  0.244397  0.578431  0.497766  0.476471  0.523529  0.412129  0.456863  0.554902  0.656863  0.665213   0.221569  0.692157  0.515686
123   0.488235  0.629412  0.233636  0.558824  0.487704  0.492157  0.507843  0.399586  0.441176  0.547059  0.645098  0.653206   0.229412  0.680392  0.519608
124   0.472549  0.617647  0.223464  0.550980  0.476734  0.452941  0.507843  0.387414  0.433333  0.539216  0.637255  0.645008   0.237255  0.672549  0.523529
125   0.468627  0.598039  0.218379  0.535294  0.468080  0.405882  0.484314  0.374806  0.417647  0.531373  0.621569  0.633759   0.245098  0.660784  0.523529
126   0.586275  0.774510  0.346553  0.692157  0.586891  0.645098  0.578431  0.520900  0.550980  0.613725  0.747059  0.749858   0.245098  0.778431  0.543137
127   0.456863  0.574510  0.210464  0.515686  0.458381  0.413725  0.476471  0.364174  0.413725  0.523529  0.617647  0.627113   0.241176  0.652941  0.523529
128   0.747059  0.801961  0.696997  0.809804  0.751491  0.790196  0.476471  0.737445  0.739216  0.688235  0.758824  0.758085   0.417647  0.743137  0.805882
129   0.711765  0.766667  0.654408  0.774510  0.713494  0.762745  0.500000  0.697284  0.700000  0.660784  0.723529  0.722598   0.370588  0.711765  0.782353
130   0.680392  0.735294  0.615313  0.747059  0.681201  0.707843  0.496078  0.661588  0.664706  0.649020  0.692157  0.691615   0.331373  0.672549  0.758824
131   0.649020  0.700000  0.576262  0.715686  0.650084  0.727451  0.496078  0.629521  0.637255  0.625490  0.656863  0.656085   0.288235  0.625490  0.739216
132   0.621569  0.668627  0.544745  0.688235  0.623295  0.680392  0.488235  0.598650  0.605882  0.590196  0.645098  0.643686   0.268627  0.590196  0.719608
133   0.574510  0.605882  0.482112  0.641176  0.574847  0.660784  0.472549  0.540845  0.554902  0.578431  0.586275  0.586151   0.217647  0.586275  0.684314
134   0.550980  0.578431  0.457891  0.613725  0.554036  0.617647  0.456863  0.516187  0.531373  0.562745  0.562745  0.561512   0.703922  0.523529  0.668627
135   0.527451  0.550980  0.431046  0.590196  0.532131  0.609804  0.445098  0.493149  0.511765  0.531373  0.531373  0.531373   0.688235  0.531373  0.656863
136   0.511765  0.523529  0.407282  0.570588  0.512634  0.590196  0.449020  0.474167  0.488235  0.515686  0.515686  0.515686   0.664706  0.515686  0.641176
137   0.492157  0.496078  0.387487  0.550980  0.496689  0.570588  0.437255  0.454458  0.472549  0.500000  0.492157  0.492157   0.162745  0.492157  0.625490
138   0.476471  0.468627  0.367341  0.531373  0.480623  0.543137  0.413725  0.434844  0.456863  0.488235  0.468627  0.468495   0.154902  0.464706  0.613725
139   0.460784  0.445098  0.344780  0.511765  0.465698  0.550980  0.409804  0.419141  0.437255  0.476471  0.456863  0.456212   0.609804  0.437255  0.598039
140   0.449020  0.417647  0.328421  0.492157  0.450841  0.488235  0.398039  0.403198  0.421569  0.460784  0.441176  0.440333   0.601961  0.417647  0.586275
141   0.433333  0.398039  0.309165  0.476471  0.434694  0.476471  0.398039  0.388390  0.409804  0.456863  0.437255  0.435959   0.139216  0.401961  0.574510
142   0.594118  0.637255  0.513310  0.660784  0.598572  0.649020  0.476471  0.567828  0.578431  0.582353  0.601961  0.601387   0.245098  0.582353  0.700000
143   0.421569  0.374510  0.293820  0.460784  0.425019  0.456863  0.378431  0.372398  0.394118  0.445098  0.417647  0.416918   0.135294  0.398039  0.562745
144   0.641176  0.684314  0.603448  0.676471  0.641851  0.649020  0.433333  0.634248  0.637255  0.558824  0.700000  0.699529   0.441176  0.700000  0.707843
